ID,Physical Address,Latitude,Longitude,COUNCIL DISTRICT,Neighborhood,Tract,Blckgrp
1,4350 Home Ave,32.7279,-117.10115,9,AZALEA/HOLLYWOOD PARK,2502,2
2,4401 Home Ave,32.7289,-117.09951,4,RIDGEVIEW/WEBSTER,3401,1
3,1702 Gateway,32.723245,-117.107805,9,FAIRMOUNT PARK,2502,1
4,4111 Home Ave,32.723218,-117.107427,9,FAIRMOUNT PARK,3401,2
5,3940 Federal Ave,32.719326,-117.109421,9,FAIRMOUNT PARK,3401,2
6,3384 Univeristy Ave,32.74907,-117.12135,9,CHEROKEE POINT,1600,3
7,3299 Univeristy Ave,32.748468,-117.123015,3,NORTH PARK,1500,1
8,3359 Univeristy Ave,32.748746,-117.121876,9,CHEROKEE POINT,2401,3
9,3201 University Ave,32.748458,-117.124932,3,NORTH PARK,1500,1
10,3299 El Cajon Blvd,32.755161,-117.123079,9,CORRIDOR,1600,3
11,4101 Univeristy Ave,32.749613,-117.106828,9,CASTLE,2402,2
12,4093 University Ave,32.74957,-117.10707,9,CASTLE,2402,2
13,4090 University Ave,32.749758,-117.10708,9,CASTLE,2202,3
14,3850 Univeristy Ave,32.749793,-117.11078,9,CHEROKEE POINT,2201,1
15,3871 University Ave,32.749599,-117.11076,9,CHEROKEE POINT,2401,1
16,3900 University Ave,32.749833,-117.110588,9,CHEROKEE POINT,2201,1
17,4067 El Cajon Blvd,32.755042,-117.107554,9,TERALTA WEST,2202,3
18,3801 El Cajon Blvd ,32.75509,-117.111415,9,TERALTA WEST,2201,1
19,4298 Market St,32.71159,-117.102375,9,MT HOPE,3403,2
20,4297  Market St,32.711403,-117.102724,9,MT HOPE,3403,3
21,4459 Market St,32.711367,-117.098931,4,CHOLLAS VIEW,3404,2
22,4462 Market St,32.711579,-117.098844,4,CHOLLAS VIEW,3404,2
23,4574 Imperial Ave,32.704248,-117.096924,4,MOUNTAIN VIEW,3301,2
24,4501 Imperial Ave,32.704056,-117.097881,4,MOUNTAIN VIEW,3301,2
25,1325 S. 47th St,32.692689,-117.093655,4,LINCOLN PARK,3305,3
26,1200 S. 47 th St,32.694726,-117.093891,4,LINCOLN PARK,3305,3
27,1369 43rd St,32.692288,-117.102321,4,SOUTHCREST,3303,2
28,1302 S. 43rd St,32.693082,-117.102559,8,SOUTHCREST,3602,1
29,1378 S. 43rd St,32.691025,-117.102573,8,SOUTHCREST,3602,1
30,1595 S. 43rd St,32.689907,-117.102361,4,SOUTHCREST,3303,1
31,3249 Main St,32.691901,-117.124761,8, BARRIO LOGAN,3800,1
32,3204 Main St,32.692185,-117.124863,8, BARRIO LOGAN,3902,3
33,3545 Ocean View Blvd,32.701183,-117.118172,4,MOUNTAIN VIEW,3502,1
34,<Null>,32.70134,-117.116922,9,MOUNTAIN VIEW,3501,2
35,<Null>,32.701304,-117.122982,8,LOGAN HEIGHTS,3901,1
36,<Null>,32.701161,-117.123794,8,LOGAN HEIGHTS,3902,2
37,<Null>,32.702463,-117.122534,8,LOGAN HEIGHTS,3901,1
38,<Null>,32.711671,-117.11676,9,MT HOPE,3403,1
39,<Null>,32.711453,-117.116419,9,MT HOPE,3501,3
40,<Null>,32.711418,-117.116687,9,MT HOPE,3501,3
41,<Null>,32.711901,-117.122302,9,STOCKTON,4100,4
42,<Null>,32.711594,-117.12465,9,STOCKTON,4000,1
43,<Null>,32.71163,-117.146665,8,SHERMAN HEIGHTS,4600,2
44,<Null>,32.712604,-117.14476,8,SHERMAN HEIGHTS,4600,2
45,<Null>,32.711761,-117.140172,8,SHERMAN HEIGHTS,4100,2
46,<Null>,32.714665,-117.140385,3,GOLDEN HILL,4100,2
47,<Null>,32.714906,-117.140205,3,GOLDEN HILL,4100,2
48,<Null>,32.710673,-117.133781,8,GRANT HILL,4000,3
49,<Null>,32.710512,-117.133761,8,GRANT HILL,4000,4
50,<Null>,32.710654,-117.133995,8,GRANT HILL,4800,1
51,<Null>,32.715817,-117.128499,3,GOLDEN HILL,4100,3
52,<Null>,32.715939,-117.128109,3,GOLDEN HILL,4100,4
53,<Null>,32.713654,-117.125241,9,STOCKTON,4100,4
54,<Null>,32.718813,-117.090282,4,RIDGEVIEW/WEBSTER,3401,3
55,<Null>,32.716676,-117.093711,4,CHOLLAS VIEW,3404,2
56,<Null>,32.71935,-117.093696,4,RIDGEVIEW/WEBSTER,3401,2
57,<Null>,32.715187,-117.093523,4,CHOLLAS VIEW,3404,1
58,<Null>,32.719449,-117.085083,4,RIDGEVIEW/WEBSTER,3401,3
59,<Null>,32.715948,-117.085138,4,CHOLLAS VIEW,3404,1
60,<Null>,32.715135,-117.084907,4,CHOLLAS VIEW,3001,2
61,<Null>,32.721842,-117.075632,4,EMERALD HILLS,3001,2
62,<Null>,32.720511,-117.075641,4,EMERALD HILLS,3001,1
63,<Null>,32.727236,-117.069891,4,ENCANTO,3003,1
64,<Null>,32.727058,-117.069086,4,ENCANTO,3001,1
65,<Null>,32.685559,-117.115243,8, BARRIO LOGAN,3601,1
66,<Null>,32.693944,-117.133967,8, BARRIO LOGAN,5000,1
67,<Null>,32.693733,-117.133942,8, BARRIO LOGAN,5000,1
68,<Null>,32.693766,-117.133596,8, BARRIO LOGAN,3902,3
69,<Null>,32.693973,-117.133664,8, BARRIO LOGAN,3902,3
70,<Null>,32.696019,-117.133949,8,LOGAN HEIGHTS,4900,2
