coordinate1,coordinate2,place_label,district
32.83625783,-117.202119,,2
32.82423342,-117.2189678,,2
32.82442738,-117.1925405,,2
32.82016027,-117.1775381,,2
32.81075251,-117.1880398,,2
32.79193401,-117.2003879,,2
32.77136491,-117.2020036,,2
32.77117084,-117.2502421,,2
32.74952929,-117.247357,,2
32.74224956,-117.2345472,,2
32.75166456,-117.2054657,,2
32.73545461,-117.1940407,airport,2
32.73671657,-117.2236994,,2
32.7266204,-117.2352397,,2
32.72895039,-117.2519731,,2
32.69991829,-117.2458568,,2
33.08446691,-116.992473,,5
33.03386521,-117.080012,,5
33.04468199,-117.0651363,,5
33.02250346,-117.058473,,5
33.01345754,-117.0667228,,5
32.99975387,-117.0732275,,5
32.98099101,-117.0733861,,5
33.02622798,-117.1140006,,5
32.96701608,-117.1146352,,5
32.98950798,-117.1620716,,5
32.94811314,-117.0916309,,5
32.9304046,-117.0949626,,5
32.90496735,-117.0932174,,5
32.94892526,-117.1348608,,5
32.96667501,-117.1384506,,5
33.08863355,-117.0433592,,5
32.69350093,-117.0682033,,4
32.7304263,-117.0549198,,4
32.713649,-117.094768,,4
32.714792,-117.078261,,4
32.713012,-117.067759,,4
32.709337,-117.041852,,4
32.698207,-117.097719,,4
32.698999,-117.044754,,4
32.734416,-117.079425,,4
32.702959,-117.06902,,4
32.675594,-117.061138,,4
32.724312,-117.09268,,4
32.683196,-117.040851,,4
32.701601,-117.078375,,4
32.725328,-117.091866,,4
32.714188,-117.109382,,9
32.708785,-117.118307,,9
32.711738,-117.126908,,9
32.723511,-117.110488,,9
32.752249,-117.116014,,9
32.76954,-117.118653,,9
32.765572,-117.105775,,9
32.759026,-117.104629,,9
32.762062,-117.086279,,9
32.755318,-117.088144,,9
32.755001,-117.071453,,9
32.745667,-117.092241,,9
32.74336,-117.100879,,9
32.750644,-117.05659,,9
32.766955,-117.062276,,9
32.767403,-117.09575,,9
32.92367421,-117.2168635,,1
32.92920279,-117.2007414,,1
32.96554845,-117.1738302,,1
32.95988519,-117.2307098,,1
32.94164163,-117.2328866,,1
32.93677594,-117.1839531,,1
32.88262775,-117.2367137,,1
32.86264159,-117.2413418,,1
32.85994342,-117.254729,,1
32.85145532,-117.2553468,,1
32.8463991,-117.2698785,,1
32.82837607,-117.2748756,,1
32.83321086,-117.2433383,,1
32.81452701,-117.2672407,,1
32.8754025,-117.2226114,,1
32.96483349,-117.1899535,,1
32.95247723,-117.1994086,,1
32.91239296,-117.2238922,,1
32.89624546,-117.2331747,,1
32.79894206,-117.0695182,,7
32.79784987,-117.0884348,,7
32.78853366,-117.088473,,7
32.80697922,-117.0710955,,7
32.79275138,-117.0625828,,7
32.78304381,-117.0547242,,7
32.7859427,-117.0683297,,7
32.78408534,-117.1108439,,7
32.78874105,-117.0949702,,7
32.78326863,-117.1095965,,7
32.79613347,-117.1650613,,7
32.79339783,-117.1610071,,7
32.7852806,-117.1738021,,7
32.77586582,-117.1774597,,7
32.77223827,-117.1699935,,7
32.79464028,-117.1822799,,7
32.77795198,-117.1524813,,7
32.77872718,-117.1311217,,7
32.80165091,-117.0538502,,7
32.80938899,-117.0530778,,7
32.79408078,-117.0330602,,7
32.79637277,-117.0227176,,7
32.7961606,-117.0145341,,7
32.7968111,-117.1271039,,7
32.79922774,-117.1414787,,7
32.79111175,-117.1267551,,7
32.80722025,-117.1263259,,7
32.81460336,-117.079237,,7
32.82460496,-117.0845777,,7
32.81409612,-117.0958229,,7
32.82581067,-117.1001141,,7
32.83785028,-117.0883096,,7
32.69261379,-117.1371786,,8
32.58866654,-117.0967349,,8
32.70921121,-117.1334469,,8
32.69873268,-117.1293131,,8
32.70131987,-117.1297578,,8
32.56827123,-117.083042,,8
32.57632143,-117.0151227,,8
32.55954793,-116.974736,,8
32.55545152,-117.0472693,,8
32.68692265,-117.1071928,,8
32.71001663,-117.1422791,,8
32.71053108,-117.1233634,,8
32.54326743,-117.0837561,,8
32.82877995,-117.1491386,,6
32.91855917,-117.1380096,,6
32.96532327,-117.1163418,,6
32.90001788,-117.1911099,,6
32.54709965,-117.0524405,,8
32.563591,-117.0640678,,8
32.56432661,-117.0136204,,8
32.58919549,-117.0277475,,8
32.58190267,-117.0087736,,8
32.58829428,-117.0262971,,8
32.58130785,-117.0481033,,8
32.58059183,-117.0660468,,8
32.58208507,-117.0980217,,8
32.56234698,-117.0817822,,8
32.5687882,-117.0985814,,8
32.84860265,-117.2217767,,6
32.90262547,-117.1502133,,6
32.75596216,-117.18776,,3
32.7493381,-117.1823253,,3
32.75279964,-117.163114,,3
32.7347721,-117.161241,,3
32.72203229,-117.168253,,3
32.70973739,-117.1607776,,3
32.71723938,-117.1359878,,3
32.72851223,-117.1274317,,3
32.74455317,-117.132019,,3
32.75963746,-117.1447501,,3
32.75869757,-117.1341735,,3
32.74751143,-117.1614552,,3
