place_name,place_label,coordinate1,coordinate2,district
San Diego California Temple,religious_site,32.86665682,-117.2288316,1
"Mary, Star of the Sea",religious_site,32.84389697,-117.273158,1
The Church of Jesus Christ of Latter-day Saints,religious_site,32.87982249,-117.2446704,1
Christian Science Reading Room,religious_site,32.84604314,-117.274034,1
Christian Science-Church,religious_site,32.84731099,-117.2708819,1
All Hallows Catholic Church,religious_site,32.83467243,-117.2492717,1
St. James by-the-Sea Episcopal Church,religious_site,32.84501229,-117.2769087,1
Sharp Medical Group,hospital,32.90775066,-117.1807082,1
Scripps Green Hospital,hospital,32.89753023,-117.2427404,1
Thornton Pavilion,hospital,32.8752741,-117.2231277,1
Jacobs Medical Center at UC San Diego Health,hospital,32.87781599,-117.2261759,1
Scripps Memorial Hospital La Jolla - Center For Women's Health,hospital,32.88525151,-117.2251399,1
Planned Parenthood - Mission Bay Mimi Brien Center,abortion_clinic,32.80346906,-117.216118,1
MD Today Urgent Care,hospital,32.94109753,-117.2318983,1
Medical Testing Center,HIV_clinic,32.80188957,-117.2367126,1
U.S. Gunner - Gun Store,gun_store,32.80560782,-117.2204943,1
Thrive CBD,dispensary,32.79997313,-117.2411964,1
MedMen,dispensary,32.89958917,-117.2207145,1
Torrey Holistics Dispensary And Weed Delivery San Diego,dispensary,32.89835431,-117.2219832,1
Cannabist San Diego,dispensary,32.80812782,-117.2177968,1
Scripps Pharmacy at Scripps Clinic Torrey Pines,pharmacy,32.89864036,-117.2428177,1
CVS Pharmacy,pharmacy,32.84166931,-117.2751829,1
CVS Pharmacy,pharmacy,32.86933943,-117.2306184,1
Pavilions,grocery_store,32.84178388,-117.2735802,1
Ralphs Fresh Fare,grocery_store,32.86633293,-117.2318027,1
Vons,grocery_store,32.9203817,-117.2150615,1
The Church of Jesus Christ of Latter-day Saints,religious_site,32.84057894,-117.0916174,7
The Church of Jesus Christ of Latter-day Saints,religious_site,32.79703319,-117.1716546,7
Newbreak Church Tierrasanta,religious_site,32.82131703,-117.0992196,7
Founders Chapel,religious_site,32.77702768,-117.1915215,7
Sharp Memorial Hospital,hospital,32.80239947,-117.1533046,7
Rady Children's Hospital,hospital,32.80101916,-117.1539227,7
Kaiser Permanente Zion Medical Center,hospital,32.79156521,-117.0954643,7
Wellgreens La Mesa Cannabis Dispensary,dispensary,32.77556353,-117.0446259,7
The Reserve,dispensary,32.82083695,-117.1373696,7
Walgreens,dispensary,32.80349521,-117.0086795,7
CVS Pharmacy,pharmacy,32.79544641,-117.0997787,7
CVS Pharmacy,pharmacy,32.80499109,-117.1394197,7
Linda Vista Pharmacy,pharmacy,32.78693299,-117.1691797,7
ALDI,grocery_store,32.80439929,-117.0076244,7
Vons,grocery_store,32.83271095,-117.1040443,7
Ralphs,grocery_store,32.77619425,-117.1554182,7
